Title,Group,Game,Mean Score,Max Score,Min Score,Std Score
Unrestricted vs Restricted Max Depth (2 Paths),Max Depth of 10,DemonAttack,1671.5625,4510.0,140.0,1479.9263270831254
Unrestricted vs Restricted Max Depth (4 Paths),Unrestricted,MsPacman,490.3125,1280.0,280.0,380.1684197086207
Unrestricted vs Restricted Max Depth (4 Paths),Unrestricted,Breakout,13.75,24.0,2.0,9.614442261514705
Unrestricted vs Restricted Max Depth (4 Paths),Unrestricted,DemonAttack,865.78125,4160.0,70.0,932.9130363535701
Unrestricted vs Restricted Max Depth (4 Paths),Max Depth of 10,MsPacman,615.0,1530.0,280.0,427.90185790669335
Unrestricted vs Restricted Max Depth (4 Paths),Max Depth of 10,Breakout,13.75,24.0,2.0,9.614442261514705
Unrestricted vs Restricted Max Depth (4 Paths),Max Depth of 10,DemonAttack,954.375,3940.0,70.0,1060.5170834904075
Unrestricted vs Restricted Max Depth (8 Paths),Unrestricted,MsPacman,762.5,1250.0,420.0,331.8037823774768
Unrestricted vs Restricted Max Depth (8 Paths),Unrestricted,Breakout,79.53125,249.0,14.0,91.30648401640214
Unrestricted vs Restricted Max Depth (8 Paths),Unrestricted,DemonAttack,1183.4375,3825.0,60.0,1224.2615360264122
Unrestricted vs Restricted Max Depth (8 Paths),Max Depth of 10,MsPacman,676.25,1030.0,420.0,213.52327156541978
Unrestricted vs Restricted Max Depth (8 Paths),Max Depth of 10,Breakout,79.53125,249.0,14.0,91.30648401640214
Unrestricted vs Restricted Max Depth (8 Paths),Max Depth of 10,DemonAttack,1236.40625,3825.0,60.0,1212.4150964958071
Reduced Simulations (10),1 Path,MsPacman,747.5,1040.0,270.0,296.60579899927785
Reduced Simulations (10),1 Path,Breakout,312.53125,407.0,151.0,109.17932049356921
Reduced Simulations (10),1 Path,DemonAttack,2590.9375,5590.0,175.0,1396.128820558386
Reduced Simulations (10),2 Paths,MsPacman,497.5,1250.0,280.0,362.284418654736
Reduced Simulations (10),2 Paths,Breakout,4.0625,9.0,2.0,2.680222705298946
Reduced Simulations (10),2 Paths,DemonAttack,1534.0625,5810.0,90.0,1496.785324819077
Reduced Simulations (10),4 Paths,MsPacman,590.0,1120.0,300.0,300.71789105405753
Reduced Simulations (10),4 Paths,Breakout,6.09375,13.0,2.0,3.608664702836771
Reduced Simulations (10),4 Paths,DemonAttack,1716.40625,5310.0,70.0,1853.1502883497974
Reduced Simulations (10),8 Paths,MsPacman,348.75,390.0,290.0,41.589511899035315
Reduced Simulations (10),8 Paths,Breakout,94.71875,237.0,33.0,82.57618996077198
Reduced Simulations (10),8 Paths,DemonAttack,1624.375,3440.0,295.0,922.6090298035241
Reduced Simulations (25),1 Path,MsPacman,418.75,860.0,280.0,214.58899668901944
Reduced Simulations (25),1 Path,Breakout,257.15625,397.0,91.0,119.63541213176599
Reduced Simulations (25),1 Path,DemonAttack,2799.0625,5640.0,400.0,1767.9341923821005
Reduced Simulations (25),2 Paths,MsPacman,825.0,1970.0,340.0,618.1474338699466
Reduced Simulations (25),2 Paths,Breakout,12.125,39.0,5.0,12.970519457600764
Reduced Simulations (25),2 Paths,DemonAttack,1482.65625,4160.0,140.0,1079.416063474107
Reduced Simulations (25),4 Paths,MsPacman,412.8125,630.0,300.0,118.67061491266487
Reduced Simulations (25),4 Paths,Breakout,22.8125,50.0,8.0,16.379174086320713
Reduced Simulations (25),4 Paths,DemonAttack,1764.375,3840.0,140.0,932.1419805346179
Reduced Simulations (25),8 Paths,MsPacman,619.6875,1080.0,280.0,379.3537627910787
Reduced Simulations (25),8 Paths,Breakout,46.5,99.0,26.0,28.241149055943172
Reduced Simulations (25),8 Paths,DemonAttack,1367.96875,3350.0,150.0,817.2131180257923
Simulation Counts,10 Simulations,MsPacman,747.5,1040.0,270.0,296.60579899927785
Simulation Counts,10 Simulations,Breakout,312.53125,407.0,151.0,109.17932049356921
Simulation Counts,10 Simulations,DemonAttack,2590.9375,5590.0,175.0,1396.128820558386
Simulation Counts,25 Simulations,MsPacman,418.75,860.0,280.0,214.58899668901944
Simulation Counts,25 Simulations,Breakout,257.15625,397.0,91.0,119.63541213176599
Simulation Counts,25 Simulations,DemonAttack,2799.0625,5640.0,400.0,1767.9341923821005
Simulation Counts,50 Simulations (Default),MsPacman,415.9375,910.0,270.0,239.9200306221846
Simulation Counts,50 Simulations (Default),Breakout,329.34375,375.0,278.0,42.107458792208064
Simulation Counts,50 Simulations (Default),DemonAttack,1534.375,5670.0,175.0,1400.7200994042314
Similarity-based Search,No Similarity (Default),MsPacman,415.9375,910.0,270.0,239.9200306221846
Similarity-based Search,No Similarity (Default),Breakout,329.34375,375.0,278.0,42.107458792208064
Similarity-based Search,No Similarity (Default),DemonAttack,1534.375,5670.0,175.0,1400.7200994042314
Similarity-based Search,Policy-based Similarity,MsPacman,346.5625,1070.0,120.0,217.2787578060727
Similarity-based Search,Policy-based Similarity,Breakout,29.28125,252.0,3.0,42.51414057037376
Similarity-based Search,Policy-based Similarity,DemonAttack,68.28125,205.0,10.0,38.742123695501
Similarity-based Search,Policy and State-based Similarity,MsPacman,341.25,1060.0,170.0,192.073390921283
Similarity-based Search,Policy and State-based Similarity,Breakout,29.65625,347.0,3.0,58.29483755820493
Similarity-based Search,Policy and State-based Similarity,DemonAttack,60.625,140.0,20.0,29.04065038872236

